"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part #"
"C1","1","10uF/25V/Tantalum","","","","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","","C13585"
"C2","1","10uF/10V/Tantalum","","","","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","","C7177"
"C3,C4,C5,C6,C7,C8","6","100nF/16V/X7R","","","","Capacitor_SMD:C_0805_2012Metric","","C49678"
"D1","1","SMBJ15A","","","","Diode_SMD:D_SMB","","C10210"
"D2,D4,D5,D6,D7,D8,D9","7","SS14","","","","Diode_SMD:D_SMA","","C2168"
"D3","1","B340_SMA","","","","Diode_SMD:D_SMA","","C64982"
"F1","1","1812L150/24","","","","Fuse:Fuse_1812_4532Metric","","C9308"
"J1","1","DC_Barrel_5.5x2.1","","","","Connector_BarrelJack:BarrelJack_Horizontal","",""
"J2","1","Goldpin_1x4_2.54","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"J3","1","JST_XH_1x4_2.54","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","",""
"J4","1","ST_XH_1x2_2.54","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","",""
"J5","1","JST_XH_1x3_2.54","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","",""
"Q1","1","AO3400_SOT23","","","","Package_TO_SOT_SMD:SOT-23","","C20917"
"R1,R2","2","4.7k/1%/0.1W","","","","Resistor_SMD:R_0805_2012Metric","","C17673"
"R3","1","100R/1%/0.1W","","","","Resistor_SMD:R_0805_2012Metric","","C17408"
"R4,R6,R8,R10,R12,R14","6","10k/1%/0.1W","","","","Resistor_SMD:R_0805_2012Metric","","C17414"
"R5","1","27k/1%/0.1W","","","","Resistor_SMD:R_0805_2012Metric","","C2904543"
"R11,R13,R15","3","1k/1%/0.1W","","","","Resistor_SMD:R_0805_2012Metric","","C17513"
"SW1,SW2,SW3","3","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","",""
"U1","1","AMS1117-3.3_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","C6186"
"U2","1","STM32G030F6P6_TSSOP20","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.st.com/resource/en/datasheet/stm32g030f6.pdf","C529330"
